time
159.518
6.023
0.899
1.591
5.082
0.882
0.867
0.914
1.649
147.294
0.912
188.912
14.138
0.888
0.877
0.867
462.861
0.926
0.872
0.907
193.757
1.062
191.218
1.125
46.394
2.371
0.864
0.865
4.038
3.491
3.501
0.862
0.863
77.78
73.928
0.877
127.26
99.989
2.33
0.865
1.248
0.87
34.01
0.875
95.305
0.904
357.172
707.415
1.682
291.969
3.477
473.071
0.924
460.645
398.587
1.244
0.87
6.423
140.728
1.663
4.558
9.203
97.947
1.61
2.322
0.865
0.868
0.861
7.15
153.908
21.929
50.478
0.881
0.865
227.66
1.631
168.284
449.636
1.255
120.042
4.724
1.614
45.346
12.919
0.882
9.408
7.449
4.044
0.864
586.888
543.776
129.071
0.87
