time
150.894
9.45
0.931
1.681
5.888
0.874
0.964
0.915
1.697
225.696
0.954
434.078
21.421
0.955
0.95
0.933
526.46
0.975
0.907
0.951
246.134
1.082
451.988
1.181
71.809
2.859
0.934
0.945
5.904
3.894
4.454
0.927
0.964
65.196
109.041
0.969
191.049
176.693
2.93
0.91
1.285
0.905
49.868
0.97
102.503
0.954
419.868
1074.575
2.076
250.543
3.837
717.258
0.99
534.051
333.659
1.299
0.963
8.76
212.884
2.052
4.722
13.562
108.252
1.732
1410.194
2.511
0.93
0.939
0.925
7.344
168.426
25.169
55.007
0.963
0.919
231.701
1.67
176.732
424.452
1.365
141.793
4.872
1.709
47.794
13.232
0.908
9.908
8.387
4.142
0.932
835.674
582.357
154.151
0.901
