time
164.463
10.136
0.956
1.624
6.383
0.91
0.903
0.896
1.627
217.198
0.899
281.726
20.582
0.893
0.893
0.894
595.742
0.935
0.897
0.898
251.059
1.073
285.147
1.151
69.475
2.369
0.891
0.909
5.702
3.733
4.237
0.893
0.894
107.035
106.625
0.933
189.316
148.445
2.383
0.903
1.284
0.894
48.802
0.898
145.83
0.906
473.836
1054.94
1.691
288.79
3.694
685.792
0.936
614.672
393.398
1.295
0.895
8.51
211.342
1.972
4.589
13.151
102.505
1.631
1923.094
2.428
0.902
0.905
0.904
8.183
165.488
21.798
50.798
0.911
0.898
228.208
1.701
184.837
447.341
1.305
119.943
4.774
1.634
46.245
14.917
0.903
9.442
8.229
4.04
0.896
588.331
551.391
128.878
0.895
