query,calls,server
query0,3215,"http://172.16.9.3:5002"
query0,2,"http://172.16.9.3:5003"
query1,113,"http://172.16.9.3:5002"
query1,2,"http://172.16.9.3:5003"
query2,2,"http://172.16.9.3:5002"
query2,2,"http://172.16.9.3:5003"
query3,2,"http://172.16.9.3:5002"
query3,3,"http://172.16.9.3:5003"
query4,64,"http://172.16.9.3:5002"
query4,2,"http://172.16.9.3:5003"
query5,2,"http://172.16.9.3:5002"
query5,2,"http://172.16.9.3:5003"
query6,2,"http://172.16.9.3:5002"
query6,2,"http://172.16.9.3:5003"
query7,2,"http://172.16.9.3:5002"
query7,2,"http://172.16.9.3:5003"
query8,9,"http://172.16.9.3:5002"
query8,2,"http://172.16.9.3:5003"
query9,2155,"http://172.16.9.3:5002"
query9,18,"http://172.16.9.3:5003"
query10,2,"http://172.16.9.3:5002"
query10,2,"http://172.16.9.3:5003"
query11,3306,"http://172.16.9.3:5002"
query11,18,"http://172.16.9.3:5003"
query12,146,"http://172.16.9.3:5002"
query12,4,"http://172.16.9.3:5003"
query13,2,"http://172.16.9.3:5002"
query13,2,"http://172.16.9.3:5003"
query14,2,"http://172.16.9.3:5002"
query14,2,"http://172.16.9.3:5003"
query15,2,"http://172.16.9.3:5002"
query15,2,"http://172.16.9.3:5003"
query16,7683,"http://172.16.9.3:5002"
query16,8,"http://172.16.9.3:5003"
query17,2,"http://172.16.9.3:5002"
query17,2,"http://172.16.9.3:5003"
query18,2,"http://172.16.9.3:5002"
query18,2,"http://172.16.9.3:5003"
query19,2,"http://172.16.9.3:5002"
query19,2,"http://172.16.9.3:5003"
query20,5115,"http://172.16.9.3:5002"
query20,2,"http://172.16.9.3:5003"
query21,2,"http://172.16.9.3:5002"
query21,2,"http://172.16.9.3:5003"
query22,3364,"http://172.16.9.3:5002"
query22,18,"http://172.16.9.3:5003"
query23,2,"http://172.16.9.3:5002"
query23,2,"http://172.16.9.3:5003"
query24,666,"http://172.16.9.3:5002"
query24,7,"http://172.16.9.3:5003"
query25,15,"http://172.16.9.3:5002"
query25,2,"http://172.16.9.3:5003"
query26,2,"http://172.16.9.3:5002"
query26,2,"http://172.16.9.3:5003"
query27,2,"http://172.16.9.3:5002"
query27,2,"http://172.16.9.3:5003"
query28,57,"http://172.16.9.3:5002"
query28,2,"http://172.16.9.3:5003"
query29,4,"http://172.16.9.3:5002"
query29,7,"http://172.16.9.3:5003"
query30,5,"http://172.16.9.3:5002"
query30,8,"http://172.16.9.3:5003"
query31,2,"http://172.16.9.3:5002"
query31,2,"http://172.16.9.3:5003"
query32,2,"http://172.16.9.3:5002"
query32,2,"http://172.16.9.3:5003"
query33,1058,"http://172.16.9.3:5002"
query33,8,"http://172.16.9.3:5003"
query34,1074,"http://172.16.9.3:5002"
query34,10,"http://172.16.9.3:5003"
query35,2,"http://172.16.9.3:5002"
query35,2,"http://172.16.9.3:5003"
query36,1883,"http://172.16.9.3:5002"
query36,17,"http://172.16.9.3:5003"
query37,988,"http://172.16.9.3:5002"
query37,15,"http://172.16.9.3:5003"
query38,15,"http://172.16.9.3:5002"
query38,2,"http://172.16.9.3:5003"
