query,calls,server
1,663,"E1"
1,1591,"E2"
2,49,"E1"
2,80,"E2"
3,1,"E1"
3,0,"E2"
4,13,"E1"
4,25,"E2"
5,25,"E1"
5,45,"E2"
6,1,"E1"
6,0,"E2"
7,1,"E1"
7,0,"E2"
8,2,"E1"
8,2,"E2"
9,6,"E1"
9,4,"E2"
10,823,"E1"
10,1654,"E2"
11,2,"E1"
11,2,"E2"
12,1230,"E1"
12,2462,"E2"
13,72,"E1"
13,124,"E2"
14,1,"E1"
14,0,"E2"
15,1,"E1"
15,0,"E2"
16,1,"E1"
16,0,"E2"
17,3985,"E1"
17,5214,"E2"
18,1,"E1"
18,0,"E2"
19,1,"E1"
19,0,"E2"
20,1,"E1"
20,1,"E2"
21,1881,"E1"
21,3903,"E2"
22,5,"E1"
22,9,"E2"
23,1253,"E1"
23,2495,"E2"
24,7,"E1"
24,13,"E2"
25,285,"E1"
25,521,"E2"
26,10,"E1"
26,6,"E2"
27,1,"E1"
27,0,"E2"
28,1,"E1"
28,0,"E2"
29,60,"E1"
29,8,"E2"
30,41,"E1"
30,79,"E2"
31,43,"E1"
31,84,"E2"
32,1,"E1"
32,0,"E2"
33,1,"E1"
33,0,"E2"
34,392,"E1"
34,795,"E2"
35,425,"E1"
35,810,"E2"
36,1,"E1"
36,0,"E2"
37,731,"E1"
37,1462,"E2"
38,481,"E1"
38,883,"E2"
39,9,"E1"
39,6,"E2"
40,1,"E1"
40,0,"E2"
41,3,"E1"
41,0,"E2"
42,1,"E1"
42,0,"E2"
43,486,"E1"
43,296,"E2"
44,1,"E1"
44,0,"E2"
45,843,"E1"
45,1672,"E2"
46,2,"E1"
46,2,"E2"
47,3197,"E1"
47,4030,"E2"
48,15869,"E1"
48,1646,"E2"
49,5,"E1"
49,5,"E2"
50,853,"E1"
50,4568,"E2"
51,40,"E1"
51,79,"E2"
52,10430,"E1"
52,1084,"E2"
53,1,"E1"
53,0,"E2"
54,3825,"E1"
54,5133,"E2"
55,1715,"E1"
55,3332,"E2"
56,3,"E1"
56,0,"E2"
57,1,"E1"
57,0,"E2"
58,30,"E1"
58,59,"E2"
59,823,"E1"
59,1583,"E2"
60,6,"E1"
60,8,"E2"
61,127,"E1"
61,0,"E2"
62,154,"E1"
62,20,"E2"
63,1266,"E1"
63,2855,"E2"
64,5,"E1"
64,2,"E2"
66,11,"E1"
66,1,"E2"
67,1,"E1"
67,0,"E2"
68,1,"E1"
68,0,"E2"
69,1,"E1"
69,0,"E2"
70,38,"E1"
70,56,"E2"
71,950,"E1"
71,1266,"E2"
72,89,"E1"
72,166,"E2"
73,798,"E1"
73,78,"E2"
74,1,"E1"
74,0,"E2"
75,1,"E1"
75,0,"E2"
76,858,"E1"
76,1715,"E2"
77,5,"E1"
77,2,"E2"
78,1680,"E1"
78,2915,"E2"
79,2030,"E1"
79,4071,"E2"
80,3,"E1"
80,0,"E2"
81,1053,"E1"
81,789,"E2"
82,19,"E1"
82,30,"E2"
83,7,"E1"
83,5,"E2"
84,531,"E1"
84,1015,"E2"
85,62,"E1"
85,128,"E2"
86,1,"E1"
86,0,"E2"
87,112,"E1"
87,221,"E2"
88,32,"E1"
88,47,"E2"
89,41,"E1"
89,81,"E2"
90,1,"E1"
90,0,"E2"
91,5959,"E1"
91,8536,"E2"
92,7701,"E1"
92,12904,"E2"
93,990,"E1"
93,845,"E2"
94,1,"E1"
94,0,"E2"
