query,calls,server
1,2253,"E1"
1,0,"E2"
2,118,"E1"
2,11,"E2"
3,1,"E1"
3,0,"E2"
4,13,"E1"
4,25,"E2"
5,65,"E1"
5,5,"E2"
6,1,"E1"
6,0,"E2"
7,1,"E1"
7,0,"E2"
8,2,"E1"
8,2,"E2"
9,8,"E1"
9,1,"E2"
10,2256,"E1"
10,221,"E2"
11,2,"E1"
11,2,"E2"
12,3471,"E1"
12,221,"E2"
13,161,"E1"
13,35,"E2"
14,1,"E1"
14,0,"E2"
15,1,"E1"
15,0,"E2"
16,1,"E1"
16,0,"E2"
17,7980,"E1"
17,81,"E2"
18,1,"E1"
18,0,"E2"
19,1,"E1"
19,0,"E2"
20,1,"E1"
20,1,"E2"
21,5699,"E1"
21,2,"E2"
22,5,"E1"
22,9,"E2"
23,3523,"E1"
23,225,"E2"
24,7,"E1"
24,13,"E2"
25,702,"E1"
25,80,"E2"
26,15,"E1"
26,1,"E2"
27,1,"E1"
27,0,"E2"
28,1,"E1"
28,0,"E2"
29,60,"E1"
29,8,"E2"
30,41,"E1"
30,79,"E2"
31,43,"E1"
31,84,"E2"
32,1,"E1"
32,0,"E2"
33,1,"E1"
33,0,"E2"
34,1098,"E1"
34,89,"E2"
35,1124,"E1"
35,111,"E2"
36,1,"E1"
36,0,"E2"
37,1981,"E1"
37,212,"E2"
38,1070,"E1"
38,179,"E2"
39,14,"E1"
39,1,"E2"
40,1,"E1"
40,0,"E2"
41,3,"E1"
41,0,"E2"
42,1,"E1"
42,0,"E2"
43,581,"E1"
43,19,"E2"
44,1,"E1"
44,0,"E2"
45,2390,"E1"
45,125,"E2"
46,2,"E1"
46,2,"E2"
47,6183,"E1"
47,75,"E2"
48,15869,"E1"
48,1646,"E2"
49,9,"E1"
49,1,"E2"
50,5420,"E1"
50,0,"E2"
51,40,"E1"
51,79,"E2"
52,10430,"E1"
52,1084,"E2"
53,1,"E1"
53,0,"E2"
54,7786,"E1"
54,80,"E2"
55,5015,"E1"
55,0,"E2"
56,3,"E1"
56,0,"E2"
57,1,"E1"
57,0,"E2"
58,80,"E1"
58,9,"E2"
59,2192,"E1"
59,214,"E2"
60,12,"E1"
60,2,"E2"
61,127,"E1"
61,0,"E2"
62,154,"E1"
62,20,"E2"
63,4112,"E1"
63,5,"E2"
64,6,"E1"
64,0,"E2"
66,12,"E1"
66,0,"E2"
67,1,"E1"
67,0,"E2"
68,1,"E1"
68,0,"E2"
69,1,"E1"
69,0,"E2"
70,86,"E1"
70,8,"E2"
71,1880,"E1"
71,17,"E2"
72,230,"E1"
72,25,"E2"
73,798,"E1"
73,78,"E2"
74,1,"E1"
74,0,"E2"
75,1,"E1"
75,0,"E2"
76,2345,"E1"
76,228,"E2"
77,6,"E1"
77,0,"E2"
78,4419,"E1"
78,1,"E2"
79,5887,"E1"
79,214,"E2"
80,3,"E1"
80,0,"E2"
81,1758,"E1"
81,83,"E2"
82,44,"E1"
82,5,"E2"
83,11,"E1"
83,1,"E2"
84,1537,"E1"
84,5,"E2"
85,189,"E1"
85,0,"E2"
86,1,"E1"
86,0,"E2"
87,112,"E1"
87,221,"E2"
88,72,"E1"
88,5,"E2"
89,41,"E1"
89,81,"E2"
90,1,"E1"
90,0,"E2"
91,12549,"E1"
91,335,"E2"
92,19758,"E1"
92,29,"E2"
93,1752,"E1"
93,82,"E2"
94,1,"E1"
94,0,"E2"
