time
164.294
7.258
0.908
1.629
3.848
0.908
0.903
0.941
1.686
113.244
0.933
142.78
11.429
0.896
0.905
0.913
418.285
0.912
0.902
0.936
184.396
1.104
144.53
1.228
35.423
2.427
0.892
0.897
3.511
2.981
3.024
0.889
0.91
52.805
58.669
0.91
95.009
77.973
2.385
0.893
1.268
0.915
26.234
0.919
76.077
0.927
294.626
532.93
1.807
293.342
2.997
356.356
0.935
422.598
258.625
1.981
0.919
5.366
111.188
1.739
4.716
7.462
105.596
1.711
2.407
0.923
0.93
0.939
7.35
160.766
22.923
59.626
0.912
0.91
233.364
1.76
178.82
469.674
1.323
122.994
4.855
1.653
46.416
13.144
0.929
9.662
7.635
4.16
0.915
595.982
559.382
133.413
0.915
