clients,time
1,11.386
2,10.811
5,11.958
10,19.687
15,28.79
20,39.186
25,51.433
30,63.62
35,72.359
45,89.856
50,101.811
60,111.92
70,122.732
80,131.568
90,169.984
100,165.815
