clients,time
1,2.506
2,2.593
5,2.683
10,2.934
15,4.785
20,5.664
25,8.131
30,8.885
35,9.566
45,14.848
50,17.364
60,20.727
70,25.576
80,25.695
90,38.209
100,38.119
150,46.485
200,57.77
250,57.062
300,79.127
400,152.664
